id, x, y, freq, label
157, 7.024791, -13.005214, 98, freeman
158, -62.240143, -20.776146, 24, transorbital
159, -1.394545, -24.600212, 60, lobotomy
160, 7.950099, 64.472290, 12, procedure
161, 8.122460, -47.509388, 102, frances
162, -1.355208, -3.008043, 380, farmer
163, -9.162457, -25.548538, 174, second
164, -3.604293, -22.319765, 138, avenue
165, -6.112929, -33.568333, 96, south
166, 0.090992, -3.819625, 246, street
167, 8.730033, -17.252739, 92, garden
168, -25.540810, -62.000607, 52, allah
169, -7.291758, -5.714065, 182, chief
170, -3.745174, -42.636189, 48, frank
171, -5.578640, -43.328106, 60, ramon
172, -11.972238, -6.898206, 176, mayor
173, -47.062691, 10.304730, 16, dorm
174, -30.089159, -42.667763, 28, braman
175, -53.553349, 3.353982, 24, mineo
176, -4.187160, -50.418728, 42, katagiri
177, -0.407947, -25.021719, 70, peter
178, -40.309235, -54.881779, 34, wichern
179, -5.511373, -53.642204, 42, cover
180, -9.275961, -11.631909, 86, magazine
181, -14.212897, -10.541969, 350, dorian
182, -20.608461, -49.332310, 36, columns
183, -46.413479, -1.951323, 16, ladder
184, -12.172023, -6.026903, 206, letter
185, -1.037890, -11.042031, 634, women
186, -17.389091, -45.503910, 48, resource
187, -15.704871, -5.440225, 286, center
188, -53.850883, 10.058243, 14, laurie
189, -50.236290, -27.584126, 22, morton
190, -60.589561, -0.673826, 18, tamara
191, -40.521069, -40.006218, 26, turner
192, -41.517361, -33.180420, 24, cindy
193, -20.645082, -48.861309, 32, gipple
194, -16.622023, -4.253697, 1258, lesbian
195, -20.631426, 34.631744, 12, separatists
196, -33.677792, -45.137428, 38, target
197, -1.115766, -49.460903, 38, freeway
198, -19.935816, -55.276833, 44, faygele
199, -19.098688, -55.287132, 48, benmiriam
200, 0.321477, -30.187538, 58, patrick
201, -7.827005, -56.746918, 40, haggerty
202, 50.561211, 15.601785, 10, flier
203, -40.390545, -61.753075, 6, w
204, -5.734036, -38.016106, 70, students
205, -15.389168, -46.288738, 56, alliance
206, 8.365089, -17.091908, 96, dancing
207, 6.880813, -51.775150, 52, double
208, -23.498068, -68.286415, 46, header
209, 8.284567, -33.940701, 40, shelly
210, 0.513093, -37.013870, 58, disco
211, -4.601854, -36.643124, 62, union
212, 17.545332, -11.778644, 474, sexual
213, 2.980764, -38.441189, 96, minorities
214, -51.926273, 30.324549, 20, brass
215, 10.678622, -18.910200, 102, door
216, -7.234739, -7.231963, 112, tielsch
217, -12.141242, -11.496819, 122, charlie
218, -13.521980, -8.898507, 296, brydon
219, 3.156051, -12.623461, 160, campaign
220, -6.652716, -40.439987, 58, victory
221, 45.464745, -5.645870, 10, liberationist
222, -15.218508, -2.867819, 410, march
223, -15.739813, -3.584612, 248, pride
224, 5.033043, -31.799465, 58, road
225, -55.091099, -13.193074, 22, condom
226, -45.336098, -42.008915, 30, campaigns
227, 6.656184, -7.818314, 158, act
228, -65.108772, 24.151062, 16, marchers
229, -8.016599, -6.571195, 96, carol
230, -24.447132, -61.978508, 28, sterling
231, -43.008133, 30.008423, 16, betsy
232, -49.772526, -33.725739, 22, lieberman
233, -6.014491, -54.120758, 36, norm
234, -51.676411, 26.989725, 14, rice
235, 17.300673, 23.013767, 10, stamper
236, 16.689085, 47.905361, 6, bigot
237, 31.698563, 44.933502, 6, busters
238, -3.577478, -5.605814, 210, anderson
239, -61.835014, -22.519514, 22, eric
240, -9.177655, 60.848213, 10, ishino
241, 14.414424, -6.705761, 170, started
242, 1.972727, -13.956886, 242, work
243, -10.857697, -49.840607, 70, fall
244, 13.309033, -8.300663, 170, thought
245, -15.910966, -4.843477, 154, project
246, 18.582582, -6.686613, 2060, would
247, -23.099848, 57.860451, 14, quick
248, -60.702347, -15.532395, 30, maybe
249, 16.324993, 0.570331, 276, year
250, -19.344616, 52.764996, 10, narrative
251, 48.160500, -19.662638, 6, journalist
252, -45.011879, -49.665730, 30, passion
253, -54.503700, -4.489765, 12, sto
254, -49.902306, 2.659315, 12, ries
255, 2.841132, -30.116142, 84, real
256, 12.035605, -12.389011, 96, individuals
257, -51.472397, -7.565956, 16, struggles
258, 21.478306, 32.270798, 8, reflections
259, -9.283869, 51.653866, 10, bigger
260, 1.245824, -25.429834, 84, questions
261, -10.882146, -24.749979, 326, case
262, 4.256618, -40.050030, 84, question
263, -14.020782, -10.223795, 446, group
264, 5.197093, -4.658915, 158, citizens
265, 76.166061, -13.469502, 8, marginalized
266, 11.142382, -30.545263, 94, decades
267, 1.182797, -59.973297, 50, spent
268, -56.637642, -45.253113, 30, closeted
269, 0.551921, -10.351820, 472, public
270, -3.219253, -61.499195, 52, voice
271, 6.291624, -34.914715, 88, words
272, 48.409561, 29.602955, 10, reaching
273, 5.549208, -34.326714, 88, sense
274, 14.537078, -7.673808, 236, home
275, -63.628227, -30.119436, 32, figured
276, -57.576042, 25.024588, 16, historians
277, 5.259161, -11.161494, 212, already
278, 8.413984, -38.721008, 82, done
279, 2.778663, -38.022274, 86, jobs
280, -5.017819, -47.194332, 52, view
281, 11.919326, -11.861213, 154, important
282, -34.546169, -47.443172, 32, events
283, -40.415287, -53.848461, 42, available
284, -24.231010, -62.634171, 34, easy
285, 12.083617, -7.508613, 212, enough
286, -24.465834, -59.346558, 34, plot
287, -25.167303, -64.411163, 42, details
288, -16.419216, -68.874695, 28, gender
289, 12.044766, -13.612204, 100, living
290, -13.383672, 54.117992, 8, simultaneously
291, 54.827381, 25.338341, 6, midwestern
292, -53.858395, 29.005917, 8, raucous
293, -50.917744, -8.131869, 14, embrace
294, 17.685696, 48.997238, 4, alaskan
295, -57.697716, 11.031208, 12, inspired
296, -45.145130, -48.067997, 22, natural
297, 10.899165, -6.528397, 222, instead
298, -61.522312, -22.150583, 28, research
299, 9.508578, -13.867289, 136, took
300, 13.536860, -4.645763, 144, almost
301, 12.765404, -3.327618, 92, ten
302, 18.304441, -2.957214, 548, years
303, 8.970996, -36.122818, 62, learned
304, 12.092716, -34.839203, 72, look
305, -53.381378, 36.384686, 16, buried
306, -14.125932, -25.921997, 248, county
307, -4.235889, -26.264221, 84, federal
308, -12.985558, -30.645796, 56, archives
309, -6.147978, -53.454636, 62, read
310, -11.586434, -25.733406, 106, records
311, -39.364979, -60.626194, 32, lobotomies
312, -61.723373, 15.729783, 16, performed
313, -47.663322, -41.133343, 32, hospitals
314, 3.504074, -47.867611, 38, key
315, 15.377472, 35.117798, 10, disappeared
316, -52.935131, -13.276673, 28, scene
317, 11.516291, -7.866824, 142, sometimes
318, -9.607750, -5.358071, 440, told
319, -7.470062, -11.036983, 116, sent
320, -30.372023, 29.914427, 14, video
321, -52.667419, 43.668037, 12, cameras
322, 7.643181, -48.011311, 52, record
323, -15.562629, -46.935650, 52, interviews
324, 16.455574, -3.061809, 246, old
325, 13.636391, -6.627404, 216, young
326, 18.421011, 39.732658, 14, brand
327, -12.046212, -62.218594, 50, queer
328, 8.090746, -11.146646, 100, side
329, -15.823820, -4.499325, 358, northwest
330, -54.704399, -19.219152, 30, happy
331, 4.764065, -15.111002, 82, past
332, 7.750135, -35.461933, 74, decade
333, 11.636265, -4.331966, 226, since
334, 12.063320, -3.034769, 170, book
335, -2.662632, -9.523772, 350, well
336, -9.760935, -49.111832, 56, received
337, -67.233566, -2.848099, 22, collected
338, 4.452429, -7.431674, 164, several
339, -12.422409, 35.614326, 12, awards
340, -1.216969, -11.715375, 268, among
341, -30.434090, -43.193565, 28, award
342, 1.918346, -6.069314, 384, called
343, -59.012241, -42.171452, 24, importance
344, -57.820347, -27.282661, 22, subject
345, 55.792519, -37.840946, 6, quality
346, -12.064713, -7.977900, 936, also
347, 0.567293, -14.887791, 180, good
348, -51.789307, -4.748629, 20, share
349, -51.425549, -31.667042, 26, critical
350, -10.948695, 39.336693, 10, praise
351, 25.950985, 46.586990, 6, journalists
352, -56.308746, -28.694811, 16, academic
353, -35.921417, 45.542126, 16, admit
354, 14.748657, -6.707746, 166, though
355, 7.633180, -41.712791, 60, join
356, 48.079933, 0.610904, 6, shelves
357, 28.218706, 49.457172, 8, wished
358, -12.927049, 56.034897, 4, mobile
359, 13.438701, -12.783108, 144, kind
360, 19.478693, -7.338400, 986, could
361, -38.492653, -57.030369, 34, easily
362, -60.283005, 8.729476, 14, carry
363, 51.193813, -8.237597, 6, bend
364, -51.998978, -32.977009, 28, feeling
365, -1.311895, -60.071632, 42, guilty
366, 41.326057, 18.417141, 4, x
367, 5.638321, -11.932331, 186, decided
368, -3.602677, -14.256850, 134, issue
369, 55.652626, -38.622570, 6, edi
370, 6.773211, -26.784285, 96, tion
371, 0.184992, -48.197300, 64, original
372, -63.747883, -29.758410, 30, bring
373, 17.250933, -2.824503, 50, twenty
374, 12.153591, -23.285410, 100, century
375, 5.354300, -24.900526, 62, whose
376, -13.966843, -22.831652, 100, libraries
377, 52.877254, 22.367033, 10, smart
378, -0.652784, -56.809208, 50, phone
379, 66.170174, -15.191628, 6, device
380, -8.332285, -60.596558, 36, intended
381, 33.055428, 29.348612, 8, revision
382, 27.013582, 35.866714, 8, expansion
383, 9.847007, -31.859716, 82, great
384, -62.716473, 23.626806, 16, detail
385, 10.412828, -20.455982, 118, happened
386, -54.546268, 28.421000, 16, fill
387, 16.849920, -10.405711, 420, still
388, 49.709457, -13.247297, 6, pressing
389, -8.836054, -63.909218, 38, needs
390, 18.434994, 40.679661, 12, rich
391, 41.984325, -28.450222, 6, transgender
392, -4.611859, -10.008965, 274, example
393, 54.994129, -45.603447, 6, tasks
394, 5.022695, -21.296108, 96, better
395, 6.998513, -8.473642, 198, left
396, -64.564896, -8.673236, 22, entirely
397, -0.908166, -46.583000, 52, books
398, 1.485593, -58.105423, 46, types
399, -9.679260, -14.214954, 100, media
400, 60.438980, 2.557163, 6, platforms
401, 11.390357, -23.989050, 78, however
402, 7.408429, -20.571457, 154, want
403, 55.613411, -39.172485, 6, update
404, 3.047000, -53.674793, 62, ways
405, -58.190903, -9.613551, 18, saga
406, 9.321675, 38.239388, 10, unfolded
407, -9.341976, -50.005867, 50, closed
408, -0.567701, -35.802597, 12, mid
409, 1.368544, -26.788763, 90, november
410, 56.807774, 12.274799, 8, determining
411, -23.487621, 34.405853, 16, fate
412, 10.516610, -36.894672, 58, referendum
413, 3.242867, -9.735864, 182, vote
414, -65.924675, 6.292896, 26, decide
415, 15.978368, -9.551123, 204, whether
416, -39.496685, -58.320454, 32, adults
417, -0.235895, -43.922062, 58, equal
418, -15.488284, -13.161803, 322, civil
419, 4.102576, -10.535302, 188, right
420, -62.657238, -10.346225, 28, marry
421, 12.028847, -37.532482, 58, per
422, -5.076361, -58.029919, 40, son
423, 13.307016, -17.695597, 104, love
424, -10.880978, -27.062376, 106, legislature
425, -54.375008, -36.232403, 26, approved
426, 5.328335, -35.081654, 86, idea
427, 0.618048, -33.261364, 66, voters
428, -38.738789, -55.140503, 28, chance
429, 7.819542, -10.113892, 164, although
430, 15.982745, -3.660587, 86, six
431, -13.441498, -23.745893, 186, district
432, -44.108643, -13.458086, 20, columbia
433, 18.271702, -7.726643, 490, sex
434, -11.004690, -22.533325, 224, marriage
435, 1.885805, -50.516186, 40, courts
436, 67.827766, -26.678406, 18, legislatures
437, 15.582498, -12.560026, 310, made
438, -56.787395, -42.978329, 24, decisions
439, 10.915798, -16.245970, 572, time
440, -6.340985, -61.203281, 34, direct
441, 21.033894, 47.455765, 6, majorities
442, -44.249374, -52.023266, 26, rejected
443, -20.805630, -58.150143, 40, marriages
444, -44.394638, -47.518719, 28, respect
445, -43.907532, -52.463928, 36, situation
446, 8.694677, -14.677092, 220, end
447, -49.016228, -41.467216, 22, sim
448, -2.130031, 60.094440, 8, ilar
449, -59.063103, 23.859135, 20, encountered
450, 15.225903, -3.677736, 144, earlier
451, -29.109470, 49.631397, 14, outcome
452, -13.207051, -9.916301, 16, anti
453, -5.290567, -13.915789, 270, council
454, 7.062454, -12.262381, 122, decision
455, -65.904503, -23.427332, 24, add
456, 7.242888, -54.167133, 86, orientation
457, -54.778633, 20.947397, 24, discriminated
458, 5.041162, -4.704267, 126, housing
459, -36.293163, -43.600510, 36, employment
460, -7.467916, -25.961380, 102, across
461, 8.281315, -37.402813, 58, country
462, 5.280175, -35.829018, 74, opponents
463, -47.022522, -28.756010, 28, protections
464, -0.641126, -10.570206, 0, lesbians
465, -46.715855, -20.986000, 24, successfully
466, 6.450686, -13.170210, 140, every
467, -12.619000, -56.369972, 50, similar
468, -10.250990, -5.695431, 234, story
469, 1.852872, -12.426250, 366, became
470, -6.433761, -61.126816, 54, cities
471, -46.502693, -20.758432, 30, retain
472, -60.258282, 1.244950, 14, breaking
473, -10.768952, -51.995960, 36, opposition
474, -7.306379, -14.149307, 142, chapter
475, 10.616766, -24.918484, 86, majority
476, 4.701735, -52.415569, 42, upon
477, -0.120205, -43.429028, 86, minority
478, 15.468812, -16.536993, 106, course
479, 4.612496, -13.772951, 120, especially
480, -39.517883, -54.674904, 24, deeply
481, -43.052616, -48.188618, 20, trained
482, 6.020372, -20.034805, 118, particular
483, -11.248241, -27.482191, 68, historical
484, -16.193413, -68.966103, 30, cultural
485, -13.556265, -4.025910, 818, see
486, 53.636147, -22.533480, 8, possibilities
487, 14.947960, -10.479314, 372, way
488, -64.019447, -9.942829, 22, possibility
489, 8.815424, -10.901015, 98, meant
490, 7.290014, -33.831509, 68, raised
491, 15.610707, -0.185915, 122, days
492, -8.369010, -51.270004, 54, brought
493, 2.217300, -50.396008, 54, mind
494, -18.484680, -66.975075, 32, movie
495, 16.560265, -10.200344, 234, help
496, 64.354225, 10.796745, 6, academy
497, 3.864830, -21.219812, 112, best
498, -49.069595, 21.908873, 22, picture
499, 3.853284, -40.273155, 68, focused
500, 9.848381, 52.219418, 10, tional
501, 5.678684, -9.166779, 100, white
502, 31.801544, 24.442675, 8, bridge
503, 5.500961, -7.686782, 118, club
504, -32.017200, -56.412178, 36, planning
505, 6.048256, -41.843689, 64, families
506, -20.240393, -63.715214, 56, african
507, 67.876038, -4.883414, 8, maids
508, 5.511463, -42.942501, 66, provided
509, 3.799024, -41.091373, 84, outside
510, 34.157196, 50.535393, 10, toilets
511, 0.325512, -16.230869, 92, black
512, -55.470478, -36.811310, 24, banned
513, 7.418399, -19.426722, 104, inside
514, 1.111351, 45.864876, 10, whites
515, 6.562253, -16.974043, 176, woman
516, -39.338127, -39.586243, 28, promoting
517, -34.656357, -61.286236, 24, character
518, 1.848721, -5.965440, 220, named
519, -39.843048, 45.453430, 14, feared
520, -21.395355, -63.520786, 30, allowing
521, 7.573896, -9.933312, 126, use
522, 61.321411, 21.471060, 8, threaten
523, -9.280524, -52.254669, 52, identity
524, -12.255446, -26.245594, 72, superior
525, -14.090005, 49.835339, 14, solution
526, 3.967096, -56.320511, 58, separate
527, 4.331426, -54.058685, 42, supposedly
528, 14.601161, -14.074604, 186, really
529, -35.897884, -42.463787, 36, notion
530, -0.401781, 41.884689, 14, track
531, -54.720741, -0.741194, 12, related
532, -2.448730, -12.514002, 246, early
533, -15.026725, -5.998919, 260, activists
534, -45.375954, 14.642660, 20, supportive
535, -35.238003, -35.660770, 44, legislator
536, -67.820015, 2.376735, 22, pete
537, -7.366703, -28.650803, 80, francis
538, -56.454399, 22.273161, 20, realized
539, 5.326361, -20.573376, 114, actually
540, -16.183989, 49.644615, 16, define
541, 10.690124, -16.480984, 390, man
542, -0.968208, -36.416660, 58, referred
543, 8.318756, -30.121437, 60, persons
544, 15.345058, -1.063057, 122, age
545, -16.788990, -68.755234, 34, otherwise
546, 59.796711, 22.051947, 6, capable
547, -59.517513, -22.158890, 16, assumed
548, 12.187979, -34.502159, 78, involved
549, 7.384326, -19.704807, 92, must
550, -7.461049, -10.009686, 68, jack
551, 30.363613, 13.165127, 10, jill
552, -9.582181, -14.405368, 104, activist
553, 8.958019, -17.968491, 112, taken
554, 6.088439, -7.919421, 162, name
555, -16.868509, -59.393246, 48, singer
556, 38.687653, 32.688198, 12, promptly
557, -10.366747, -32.853596, 58, filed
558, -2.432951, -33.905468, 92, license
559, 9.161714, -34.099510, 106, friend
560, 4.186912, -15.502840, 86, paul
561, 6.876729, -46.159428, 64, barwick
562, -46.971977, -28.969553, 26, basic
563, -22.499620, -59.296371, 40, message
564, 16.444847, -3.933028, 162, four
