name, frequency, lat, lng
northmark, 6, 55.603200, -118.905490
alaskamidland, 6, 70.232500, -146.559440
fortune city, 6, 22.678430, 88.459760
fascina, 6, -23.563900, -46.688070
seattleillahee cityplace, 6, 43.639900, -79.397080
hinterlandand, 6, 33.999110, -118.480640
kikisebloo city, 6, -35.280060, 149.130910
dovella, 6, 37.796500, -82.572660
dennylindsley, 6, 36.281440, -86.545550
placestorie city, 6, 26.855230, 80.943630
returnand, 6, 50.947450, 5.207450
northwest, 6, 28.768661, 77.084561
southpark, 6, 40.292260, -79.996640
hooverille, 6, 40.412900, -79.026840
northdakota, 6, 47.446273, -100.469387
ballplayer, 6, 35.463970, -84.205470
ye, 6, 15.905206, 47.593953
depressionera, 6, 1.301200, 103.836760
seattleillaheea, 6, 42.596820, -5.566280
frontierwa, 6, 51.321370, 6.193770
fortwestunited states, 6, 30.695530, -88.174840
pivot city, 6, 50.656990, 5.793950
y citys, 6, 55.907610, 23.259090
west city, 6, 23.464500, 120.435200
overturn city, 6, -35.280060, 149.130910
innova, 6, 62.241100, 25.757640
cafésspring, 6, 49.205010, -99.112220
midst city, 6, 32.963860, 68.559430
washingtonday, 6, 38.853330, -77.043400
climatecontrolle, 6, 60.004730, 30.299730
saint city, 6, 1.478400, 124.836560
increa, 6, 4.664010, -74.058500
tribalauthority cityyear, 6, -19.623650, 14.845040
seattlepromote, 6, 42.596820, -5.566280
duwamish city, 6, -35.280060, 149.130910
germany, 6, 51.110631, 10.392278
seattlerenton, 6, 42.596820, -5.566280
undisturbed city, 6, -35.280060, 149.130910
southolympia, 6, 51.415010, -0.200290
fremont, 6, 37.550910, -121.982170
indianvillage, 6, 39.096500, -76.526350
renton, 6, 47.475320, -122.204870
boulder, 6, 40.015740, -105.279240
petroglyphbeach, 6, 13.190280, -61.264800
upriver, 6, 53.964300, -1.083830
southkellogg, 6, 42.316060, -85.151260
yakama, 6, 8.116670, -10.950000
eastbank, 6, 40.760320, -73.827220
stribal, 6, 37.362460, 39.591770
southtacoma, 6, 47.206240, -122.481610
washingtonparksuquamish, 6, 39.786930, -89.677860
manette, 6, 47.571140, -122.611120
xáxa, 6, 32.900000, 82.733330
jut, 6, 35.942190, 74.126490
richmondbeach, 6, 37.914780, -76.838320
northseattle, 6, 47.705290, -122.338050
condor, 6, -28.205820, -53.483910
santafe, 6, 1.976520, -75.906920
metropolis, 6, 37.151790, -88.731200
westlisbeth, 6, 43.295400, 5.392180
chad, 6, 15.376265, 18.674166
wested, 6, 52.517080, 13.276360
beaton city, 6, 12.033330, -61.700000
annieyork, 6, 33.129290, -90.260360
terri, 6, 40.742620, -73.992210
westpeggy, 6, 47.365280, 10.199440
westedvalerie, 6, 40.863560, -111.889100
manu, 6, 24.007900, 91.990550
skeleton, 6, 41.644130, -4.718160
volgarden city, 6, 60.583330, 11.950000
baysiwashe, 6, 60.954720, -147.650560
washingtonscolumbia, 6, 40.783340, -74.153890
westshow, 6, 57.262430, 13.834440
westlawrence, 6, -67.857220, 62.517780
kansas, 6, 38.484727, -98.380171
cake, 6, -3.999500, 119.718000
aldona, 6, 15.589570, 73.870210
nd, 6, 28.630950, 77.217210
texas, 6, 31.462733, -99.333050
newyorknew, 6, 32.710920, -117.161020
marilynbentz, 6, 47.885900, 35.072790
correa city, 6, -32.852030, -61.257900
badcon, 6, 46.550000, 1.600000
emmettwatson, 6, 53.554110, -6.793470
kurt, 6, 22.605830, 88.020560
discrimina, 6, 20.641000, -103.308150
gotham, 6, 52.869170, -1.204830
seattlegarden city, 6, 44.507420, -114.224790
losangelesuniversity, 6, 34.365150, -89.533750
garden city, 6, 42.329900, -83.331110
houghton, 6, 47.121860, -88.570020
archon, 6, 49.741180, 4.115970
westedge, 6, 42.265120, -85.590230
china, 6, 36.567348, 103.930027
minnesota, 6, 46.348856, -94.200791
iii city, 6, 26.709560, -108.602740
newyorkgarland, 6, 60.000000, 5.100000
ballast, 6, 52.735670, 8.361280
hannah, 6, 53.287930, 0.249070
hiramm, 6, 24.942240, 87.100890
patsycolumbia, 6, 52.187370, 5.954260
alonzo, 6, 21.716670, -78.350000
sav, 6, 32.127580, -81.202140
seattlevs, 6, 31.941160, 35.884580
kalaeetsa, 6, 42.927470, 24.671200
bowhertta, 6, 61.921430, 29.305570
synonymy city, 6, -35.280060, 149.130910
seattleday, 6, 42.596820, -5.566280
reserva, 6, -24.648480, -50.846260
kurkpatrick, 6, 51.500130, -112.835180
japan, 6, 36.655227, 139.271495
montana, 6, 47.033499, -109.645068
australia, 6, -25.709932, 134.484031
uw, 6, 47.660310, -122.314420
