name, frequency, lat, lng
kingtvprepare city,2,-35.28006,149.13091
tenczar,2,4.66774,-74.06212
elapse,2,25.16691,55.41271
brydon city,2,45.68341,-76.61611
momentum city,2,52.46621,-1.89957
wathand,2,14.44744,44.08174
detroit,2,42.33168,-83.048
ishlyhand,2,53.9075,57.7931
request city,2,-30.55,22.46667
microphone city,2,29.97695,32.54812
dome,2,5.65015,-0.22184
funda,2,-8.8423,13.54776
stan,2,40.61333,19.71389
oncegay,2,47.68453,0.04988
midoctober,2,41.81799,-71.42073
capitolhills,2,39.19872,-76.61691
northsouth,2,-26.10335,27.9053
glitterin,2,61.05,15.83333
doorand,2,13.99138,100.61568
districtan,2,22.45856,120.50154
mecca,2,21.42111,39.82222
moneyhad,2,53.57466,-7.78477
helenamontana,2,46.6373,-112.02126
pittsburghseminary,2,40.46755,-79.92198
netherlands,2,52.249375,5.616126
newyorkyear,2,32.71092,-117.16102
eastjohn,2,38.370961,-76.450299
wisconsin,2,44.644833,-89.739185
southend,2,55.31541,-5.64102
seattlebathhouse,2,47.57943,-122.40959
thousand,2,36.86969,30.72209
guam,2,13.443564,144.777628
oklahoma,2,35.582684,-97.508599
tijuana,2,32.53505,-117.04097
mexico,2,23.952825,-102.548353
kingtv,2,35.27107,-77.60276
picturesroe,2,53.41207,-2.9476
monroe,2,32.50983,-92.11879
clark county,2,40.410743,-91.73959
klux,2,34.50679,-81.94843
busiestfille,2,50.84205,4.35257
eastrenton,2,52.9357,1.26988
sixtyone,2,55.01748,-1.42311
kidif,2,-5.46667,38.95
bien,2,51.25,5.46667
ocas,2,43.46173,-3.82124
spurle,2,54.19946,20.99555
boardand,2,-26.10615,28.17611
kris,2,39.93481,-75.16219
timewould,2,1.32801,103.89058
southafrica,2,-28.997182,25.08505
chlamydia,2,29.50456,79.51132
lucille,2,33.08815,-87.14733
johannas,2,48.11279,11.47823
homophobia,2,11.00578,76.95594
santamonica,2,43.98179,12.68614
squad,2,19.18774,72.97663
aprc,2,38.7303,-9.15156
aprantigay,2,47.49272,5.65739
apr,2,36.40315,-97.89131
newpittsburgh,2,40.99575,-82.73871
bulletin,2,40.72294,-73.99462
julie,2,44.69187,1.19644
warrenking county,2,32.77834,-79.93294
olympian,2,38.01489,-122.02659
rob,2,45.84796,14.57043
kangas,2,63.06667,22.86667
lewisburg,2,35.44911,-86.7888
kentucky,2,37.527233,-85.28762
